GAME_ID,game_date,player_name,winner_names,deflections,charges_drawn,usage_rate,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,minutes_decimal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,player_name_key,y,stocks,points_per_min,oreb_per_min,reb_per_min,ast_per_min,hustle_proxy,points_rank,reboundsOffensive_rank,reboundsTotal_rank,assists_rank,steals_rank,blocks_rank,plusMinusPoints_rank,minutes_decimal_rank
0021600130,2016-11-12,James Young,James Young,,,0.00154,21600130,1610612738,Boston,Celtics,BOS,celtics,203923,James,Young,J. Young,james-young,G,,,16:22,16.366666666666667,5,6,0.833,2,3,0.667,0,0,0.0,2,1,3,1,2,0,0,0,12,7.0,james young,1,2.0,0.7332,0.1222,0.1833,0.0611,4.0,5.0,3.0,7.0,6.0,1.0,7.0,3.0,8.0
0021600681,2017-01-25,Jae Crowder,Jae Crowder,,,,21600681,1610612738,Boston,Celtics,BOS,celtics,203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,35:41,35.68333333333333,8,18,0.444,1,8,0.125,6,6,1.0,1,9,10,4,1,0,1,3,23,15.0,jae crowder,1,1.0,0.6446,0.028,0.2802,0.1121,2.0,2.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0
0021600697,2017-01-27,Jaylen Brown,Jaylen Brown,,,,21600697,1610612738,Boston,Celtics,BOS,celtics,1627759,Jaylen,Brown,J. Brown,jaylen-brown,G,,,30:22,30.366666666666667,6,13,0.462,2,5,0.4,6,8,0.75,1,7,8,2,0,0,1,5,20,14.0,jaylen brown,1,0.0,0.6586,0.0329,0.2634,0.0659,1.0,2.0,2.0,1.0,5.0,6.0,6.0,7.0,1.0
0021600706,2017-01-28,Jae Crowder,Jae Crowder,,,,21600706,1610612738,Boston,Celtics,BOS,celtics,203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,38:15,38.25,5,13,0.385,4,10,0.4,6,6,1.0,1,5,6,4,0,1,0,4,20,13.0,jae crowder,1,1.0,0.5229,0.0261,0.1569,0.1046,2.0,2.0,3.0,4.0,3.0,6.0,1.0,1.0,2.0
0021600721,2017-01-30,Isaiah Thomas,Isaiah Thomas,,,,21600721,1610612738,Boston,Celtics,BOS,celtics,202738,Isaiah,Thomas,I. Thomas,isaiah-thomas,G,,,37:14,37.23333333333333,11,23,0.478,4,11,0.364,15,15,1.0,0,0,0,8,2,0,3,4,41,-10.0,isaiah thomas,1,2.0,1.1012,0.0,0.0,0.2149,2.0,1.0,6.0,10.0,1.0,1.0,4.0,10.0,1.0
0021600732,2017-02-01,Marcus Smart,Marcus Smart,,,,21600732,1610612738,Boston,Celtics,BOS,celtics,203935,Marcus,Smart,M. Smart,marcus-smart,G,,,34:48,34.8,4,11,0.364,1,5,0.2,1,2,0.5,2,3,5,5,2,0,2,3,10,8.0,marcus smart,1,2.0,0.2874,0.0575,0.1437,0.1437,4.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0
0021600751,2017-02-03,Isaiah Thomas,Isaiah Thomas,,,,21600751,1610612738,Boston,Celtics,BOS,celtics,202738,Isaiah,Thomas,I. Thomas,isaiah-thomas,G,,,37:41,37.68333333333333,13,24,0.542,5,11,0.455,7,7,1.0,0,2,2,4,1,0,6,2,38,3.0,isaiah thomas,1,1.0,1.0084,0.0,0.0531,0.1061,1.0,1.0,6.0,9.0,3.0,3.0,2.0,5.0,1.0
0021600793,2017-02-08,Amir Johnson,Amir Johnson,,,,21600793,1610612738,Boston,Celtics,BOS,celtics,101161,Amir,Johnson,A. Johnson,amir-johnson,F,,,26:33,26.55,6,7,0.857,2,2,1.0,0,0,0.0,1,5,6,1,3,0,2,0,14,2.0,amir johnson,1,3.0,0.5273,0.0377,0.226,0.0377,4.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,5.0
0021600798,2017-02-09,Marcus Smart,Marcus Smart,,,,21600798,1610612738,Boston,Celtics,BOS,celtics,203935,Marcus,Smart,M. Smart,marcus-smart,G,,,37:30,37.5,8,13,0.615,0,2,0.0,2,3,0.667,1,5,6,5,5,0,0,2,18,10.0,marcus smart,1,5.0,0.48,0.0267,0.16,0.1333,6.0,2.0,5.0,3.0,1.0,1.0,2.0,4.0,2.0
0021600815,2017-02-11,Gerald Green,Gerald Green,,,0.002,21600815,1610612738,Boston,Celtics,BOS,celtics,101123,Gerald,Green,G. Green,gerald-green,F,,,22:51,22.85,7,8,0.875,2,3,0.667,0,0,0.0,0,0,0,0,0,0,1,3,16,10.0,gerald green,1,0.0,0.7002,0.0,0.0,0.0,0.0,3.0,4.0,9.0,7.0,4.0,4.0,2.0,6.0
0021601060,2017-03-22,Kelly Olynyk,Kelly Olynyk,,,,21601060,1610612738,Boston,Celtics,BOS,celtics,203482,Kelly,Olynyk,K. Olynyk,kelly-olynyk,G,,,30:55,30.916666666666668,5,6,0.833,1,1,1.0,0,0,0.0,2,6,8,4,1,0,2,0,11,12.0,kelly olynyk,1,1.0,0.3558,0.0647,0.2588,0.1294,3.0,5.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0
0021601076,2017-03-24,Gerald Green,Gerald Green,,,,21601076,1610612738,Boston,Celtics,BOS,celtics,101123,Gerald,Green,G. Green,gerald-green,G,,,12:32,12.533333333333331,4,5,0.8,4,4,1.0,3,3,1.0,0,1,1,0,0,0,1,3,15,8.0,gerald green,1,0.0,1.1968,0.0,0.0798,0.0,0.0,2.0,7.0,9.0,11.0,5.0,4.0,4.0,9.0
0021700506,2017-12-27,Jayson Tatum,Jayson Tatum,,,,21700506,1610612738,Boston,Celtics,BOS,celtics,1628369,Jayson,Tatum,J. Tatum,jayson-tatum,F,,,35:13,35.21666666666667,6,12,0.5,0,3,0.0,6,6,1.0,0,5,5,0,2,2,2,3,18,10.0,jayson tatum,1,4.0,0.5111,0.0,0.142,0.0,4.0,3.0,6.0,3.0,9.0,1.0,1.0,3.0,2.0
0021700517,2017-12-28,Marcus Smart,Marcus Smart,,,,21700517,1610612738,Boston,Celtics,BOS,celtics,203935,Marcus,Smart,M. Smart,marcus-smart,G,,,34:15,34.25,6,14,0.429,1,5,0.2,0,0,0.0,1,5,6,5,2,3,2,1,13,3.0,marcus smart,1,5.0,0.3796,0.0292,0.1752,0.146,6.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0
0021700539,2017-12-31,Marcus Morris Sr.,Marcus Morris,,,0.00256,21700539,1610612738,Boston,Celtics,BOS,celtics,202694,Marcus,Morris Sr.,M. Morris Sr.,marcus-morris-sr,,,,16:57,16.95,5,7,0.714,4,5,0.8,1,2,0.5,0,2,2,0,0,0,2,2,15,12.0,marcus morris sr,1,0.0,0.885,0.0,0.118,0.0,0.0,2.0,7.0,8.0,8.0,6.0,6.0,1.0,8.0
0021700559,2018-01-03,Kyrie Irving,Kyrie Irving,,,0.0023899999999999,21700559,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,28:15,28.25,5,14,0.357,0,5,0.0,1,2,0.5,0,9,9,6,1,0,2,2,11,18.0,kyrie irving,1,1.0,0.3894,0.0,0.3186,0.2124,1.0,5.0,6.0,1.0,1.0,3.0,3.0,2.0,4.0
0021700570,2018-01-05,Terry Rozier,Terry Rozier,,,0.00222,21700570,1610612738,Boston,Celtics,BOS,celtics,1626179,Terry,Rozier,T. Rozier,terry-rozier,,,,21:41,21.683333333333334,6,11,0.545,2,7,0.286,0,0,0.0,2,7,9,1,0,0,1,1,14,14.0,terry rozier,1,0.0,0.6457,0.0922,0.4151,0.0461,2.0,3.0,2.0,3.0,4.0,6.0,4.0,2.0,8.0
0021700579,2018-01-06,Daniel Theis,Daniel Theis,,,0.0011799999999999,21700579,1610612738,Boston,Celtics,BOS,celtics,1628464,Daniel,Theis,D. Theis,daniel-theis,,,,18:39,18.65,4,6,0.667,0,0,0.0,0,0,0.0,3,7,10,0,1,2,0,3,8,5.0,daniel theis,1,3.0,0.429,0.1609,0.5362,0.0,6.0,6.0,1.0,1.0,7.0,3.0,2.0,3.0,7.0
0021700614,2018-01-11,Jayson Tatum,Jayson Tatum,,,0.00254,21700614,1610612738,Boston,Celtics,BOS,celtics,1628369,Jayson,Tatum,J. Tatum,jayson-tatum,F,,,24:22,24.366666666666667,7,13,0.538,1,3,0.333,1,2,0.5,1,3,4,2,0,0,1,3,16,-8.0,jayson tatum,1,0.0,0.6566,0.041,0.1642,0.0821,1.0,4.0,4.0,5.0,3.0,7.0,3.0,13.0,4.0
0021700650,2018-01-16,Jaylen Brown,Jaylen Brown,,,0.00224,21700650,1610612738,Boston,Celtics,BOS,celtics,1627759,Jaylen,Brown,J. Brown,jaylen-brown,G,,,31:55,31.916666666666668,7,14,0.5,2,7,0.286,0,1,0.0,1,3,4,5,1,0,3,2,16,7.0,jaylen brown,1,1.0,0.5013,0.0313,0.1253,0.1567,2.0,2.0,5.0,8.0,2.0,2.0,4.0,1.0,3.0
0021700663,2018-01-18,Marcus Morris Sr.,Marcus Morris,,,0.00233,21700663,1610612738,Boston,Celtics,BOS,celtics,202694,Marcus,Morris Sr.,M. Morris Sr.,marcus-morris-sr,,,,27:15,27.25,4,9,0.444,2,5,0.4,4,4,1.0,1,5,6,1,0,0,3,1,14,-16.0,marcus morris sr,1,0.0,0.5138,0.0367,0.2202,0.0367,1.0,1.0,1.0,1.0,4.0,6.0,4.0,11.0,5.0
0021700683,2018-01-21,Kyrie Irving,Kyrie Irving,,,0.00297,21700683,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,40:06,40.1,14,23,0.609,5,7,0.714,7,8,0.875,2,5,7,5,0,1,1,1,40,6.0,kyrie irving,1,1.0,0.9975,0.0499,0.1746,0.1247,3.0,1.0,2.0,2.0,2.0,6.0,3.0,1.0,1.0
0021700700,2018-01-23,Kyrie Irving,Kyrie Irving,,,0.00292,21700700,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,38:24,38.4,13,24,0.542,4,11,0.364,3,3,1.0,0,3,3,4,0,0,1,1,33,16.0,kyrie irving,1,0.0,0.8594,0.0,0.0781,0.1042,0.0,1.0,4.0,5.0,3.0,4.0,4.0,1.0,1.0
0021700709,2018-01-24,Terry Rozier,Terry Rozier,,,0.00213,21700709,1610612738,Boston,Celtics,BOS,celtics,1626179,Terry,Rozier,T. Rozier,terry-rozier,,,,23:59,23.98333333333333,4,10,0.4,1,4,0.25,6,6,1.0,1,2,3,4,2,0,0,1,15,19.0,terry rozier,1,2.0,0.6254,0.0417,0.1251,0.1668,3.0,3.0,4.0,7.0,2.0,1.0,3.0,1.0,6.0
0021700728,2018-01-27,Kyrie Irving,Kyrie Irving,,,0.0028199999999999,21700728,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,36:01,36.016666666666666,13,18,0.722,5,6,0.833,6,8,0.75,0,2,2,4,1,0,3,3,37,0.0,kyrie irving,1,1.0,1.0273,0.0,0.0555,0.1111,1.0,1.0,6.0,6.0,1.0,1.0,2.0,5.0,1.0
0021700743,2018-01-29,Daniel Theis,Daniel Theis,,,,21700743,1610612738,Boston,Celtics,BOS,celtics,1628464,Daniel,Theis,D. Theis,daniel-theis,,,,20:41,20.683333333333334,4,9,0.444,3,6,0.5,0,0,0.0,2,1,3,4,1,1,0,5,11,10.0,daniel theis,1,2.0,0.5318,0.0967,0.145,0.1934,4.0,4.0,2.0,6.0,4.0,1.0,2.0,1.0,6.0
0021700758,2018-01-31,Terry Rozier,Terry Rozier,,,0.00247,21700758,1610612738,Boston,Celtics,BOS,celtics,1626179,Terry,Rozier,T. Rozier,terry-rozier,G,,,32:32,32.53333333333333,6,14,0.429,3,6,0.5,2,4,0.5,1,10,11,10,2,2,2,2,17,32.0,terry rozier,1,4.0,0.5225,0.0307,0.3381,0.3074,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
0021700767,2018-02-02,Jayson Tatum,Jayson Tatum,,,,21700767,1610612738,Boston,Celtics,BOS,celtics,1628369,Jayson,Tatum,J. Tatum,jayson-tatum,F,,,31:34,31.566666666666663,11,19,0.579,0,1,0.0,5,5,1.0,0,4,4,3,4,0,0,4,27,27.0,jayson tatum,1,4.0,0.8553,0.0,0.1267,0.095,4.0,2.0,6.0,5.0,4.0,1.0,3.0,2.0,3.0
0021700784,2018-02-04,Al Horford,Al Horford,,,0.00218,21700784,1610612738,Boston,Celtics,BOS,celtics,201143,Al,Horford,A. Horford,al-horford,F,,,36:17,36.28333333333333,8,12,0.667,2,2,1.0,4,4,1.0,1,9,10,5,0,2,3,2,22,-2.0,al horford,1,2.0,0.6063,0.0276,0.2756,0.1378,3.0,1.0,3.0,1.0,1.0,4.0,1.0,7.0,3.0
0021700798,2018-02-06,Terry Rozier,Terry Rozier,,,0.00291,21700798,1610612738,Boston,Celtics,BOS,celtics,1626179,Terry,Rozier,T. Rozier,terry-rozier,,,,24:10,24.166666666666668,5,12,0.417,4,5,0.8,4,4,1.0,1,4,5,4,2,0,2,2,18,-8.0,terry rozier,1,2.0,0.7448,0.0414,0.2069,0.1655,3.0,1.0,4.0,4.0,1.0,1.0,3.0,6.0,4.0
0021700813,2018-02-08,Jaylen Brown,Jaylen Brown,,,,21700813,1610612738,Boston,Celtics,BOS,celtics,1627759,Jaylen,Brown,J. Brown,jaylen-brown,G,,,37:33,37.55,7,16,0.438,3,8,0.375,1,2,0.5,0,4,4,3,1,1,2,3,18,6.0,jaylen brown,1,2.0,0.4794,0.0,0.1065,0.0799,2.0,2.0,6.0,7.0,2.0,3.0,2.0,3.0,1.0
0021700820,2018-02-09,Kyrie Irving,Kyrie Irving,,,0.0030399999999999,21700820,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,31:20,31.33333333333333,8,18,0.444,2,7,0.286,3,3,1.0,1,1,2,5,0,0,2,3,21,-1.0,kyrie irving,1,0.0,0.6702,0.0319,0.0638,0.1596,1.0,1.0,6.0,7.0,1.0,5.0,6.0,4.0,2.0
0021700858,2018-02-14,Kyrie Irving,Kyrie Irving,,,0.00308,21700858,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,38:16,38.266666666666666,11,21,0.524,5,7,0.714,6,6,1.0,0,1,1,8,1,0,4,3,33,-14.0,kyrie irving,1,1.0,0.8624,0.0,0.0261,0.2091,1.0,1.0,6.0,9.0,1.0,1.0,5.0,8.0,1.0
0021700873,2018-02-23,Daniel Theis,Daniel Theis,,,,21700873,1610612738,Boston,Celtics,BOS,celtics,1628464,Daniel,Theis,D. Theis,daniel-theis,,,,20:55,20.916666666666668,8,10,0.8,2,2,1.0,1,2,0.5,4,3,7,0,2,2,0,4,19,6.0,daniel theis,1,4.0,0.9084,0.1912,0.3347,0.0,8.0,1.0,1.0,1.0,9.0,1.0,1.0,6.0,7.0
0021700886,2018-02-24,Kyrie Irving,Kyrie Irving,,,,21700886,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,34:51,34.85,11,22,0.5,6,12,0.5,3,4,0.75,1,8,9,8,2,0,2,1,31,22.0,kyrie irving,1,2.0,0.8895,0.0287,0.2582,0.2296,3.0,1.0,4.0,2.0,1.0,3.0,4.0,1.0,1.0
0021700898,2018-02-26,Kyrie Irving,Kyrie Irving,,,,21700898,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,24:55,24.916666666666668,8,13,0.615,5,8,0.625,4,4,1.0,0,6,6,5,0,0,2,2,25,7.0,kyrie irving,1,0.0,1.0033,0.0,0.2408,0.2007,0.0,1.0,6.0,3.0,1.0,4.0,5.0,6.0,4.0
0021800204,2018-11-14,Kyrie Irving,Kyrie Irving,,,,21800204,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,27:45,27.75,6,8,0.75,1,1,1.0,4,4,1.0,1,5,6,7,2,0,1,1,17,20.0,kyrie irving,1,2.0,0.6126,0.036,0.2162,0.2523,3.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0
0021800216,2018-11-16,Kyrie Irving,Kyrie Irving,,,0.0034799999999999,21800216,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,38:33,38.55,18,26,0.692,3,6,0.5,4,6,0.667,0,2,2,11,3,1,3,3,43,9.0,kyrie irving,1,4.0,1.1154,0.0,0.0519,0.2853,4.0,1.0,7.0,9.0,1.0,2.0,2.0,4.0,2.0
0021800229,2018-11-17,Guerschon Yabusele,Guerschon Yabusele,,,0.00318,21800229,1610612738,Boston,Celtics,BOS,celtics,1627824,Guerschon,Yabusele,G. Yabusele,guerschon-yabusele,,,,8:58,8.966666666666667,2,5,0.4,1,2,0.5,4,4,1.0,1,1,2,0,2,0,0,1,9,5.0,guerschon yabusele,1,2.0,1.0037,0.1115,0.223,0.0,3.0,3.0,6.0,8.0,10.0,1.0,4.0,1.0,12.0
0021800239,2018-11-19,Jayson Tatum,Jayson Tatum,,,0.00257,21800239,1610612738,Boston,Celtics,BOS,celtics,1628369,Jayson,Tatum,J. Tatum,jayson-tatum,F,,,30:28,30.466666666666665,8,15,0.533,1,4,0.25,3,6,0.5,1,5,6,2,1,1,0,1,20,-9.0,jayson tatum,1,2.0,0.6565,0.0328,0.1969,0.0656,3.0,2.0,3.0,3.0,5.0,5.0,2.0,7.0,4.0
0021800458,2018-12-19,Kyrie Irving,Kyrie Irving,,,0.00309,21800458,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,35:59,35.983333333333334,10,19,0.526,4,8,0.5,5,5,1.0,2,3,5,10,4,1,4,2,29,0.0,kyrie irving,1,5.0,0.8059,0.0556,0.139,0.2779,7.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0
0021801170,2019-04-03,Gordon Hayward,Gordon Hayward,,,0.00216,21801170,1610612738,Boston,Celtics,BOS,celtics,202330,Gordon,Hayward,G. Hayward,gordon-hayward,,,,32:12,32.2,5,10,0.5,3,5,0.6,12,13,0.923,0,8,8,5,0,1,0,3,25,16.0,gordon hayward,1,1.0,0.7764,0.0,0.2484,0.1553,1.0,1.0,4.0,2.0,1.0,6.0,2.0,1.0,4.0
0021900017,2019-10-25,Jaylen Brown,Jaylen Brown,,,0.0020599999999999,21900017,1610612738,Boston,Celtics,BOS,celtics,1627759,Jaylen,Brown,J. Brown,jaylen-brown,G,,,38:04,38.06666666666667,11,20,0.55,2,7,0.286,1,1,1.0,0,9,9,4,0,2,1,2,25,2.0,jaylen brown,1,2.0,0.6567,0.0,0.2364,0.1051,2.0,1.0,8.0,1.0,1.0,7.0,1.0,6.0,1.0
0022501035,2026-03-22 00:00:00,Max Shulga,Max Shulga,,,0.00333,22501035,1610612738,Boston,Celtics,BOS,celtics,1642917,Max,Shulga,M. Shulga,max-shulga,,,,1:45,1.75,1,1,1.0,0,0,0.0,2,2,1.0,1,0,1,1,0,0,0,0,4,6.0,max shulga,1,0.0,2.2857,0.5714,0.5714,0.5714,1.0,7.0,3.0,9.0,5.0,6.0,3.0,1.0,10.0
